id:int,name:string,en:string,zh:string,zh-Hant:string,es:string,pt:string,fr:string,tr:string,ru:string,ind:string,ja:string
101,logo,AI Image Generator,AI图片生成,AI繪圖生成,Generador de Imágenes de IA,Gerador de Imagem de IA,Générateur d'Images IA,Yapay Zeka Görüntü Oluşturucusu,ИИ-генератор изображений,Generator Gambar AI,AI画像生成
102,prompt,prompt,提示词,提示詞,,,,,,,
103,,Painting..,绘画中..,繪畫中..,,,,,,,
104,,Please wait for current request to complete,请等待当前请求完成,請等待目前請求完成,,,,,,,
105,version,version,版本,版本,,,,,,,
106,size,size,尺寸,尺寸,,,,,,,
107,,square,方块,方塊,,,,,,,
108,,banner,横幅,橫幅,,,,,,,
109,,poster,海报,海報,,,,,,,
110,quality,quality,画质,畫質,,,,,,,
111,,standard ,标准,標準,,,,,,,
112,,HD,高清,高清,,,,,,,
113,style,style,风格,風格,,,,,,,
114,,vivid,生动,生動,,,,,,,
115,,natural,真实,真實,,,,,,,
116,supplier,supplier,供应商,供應商,,,,,,,
117,apiKey,API Key,API密钥,API金鑰,,,,,,,
118,clear,Clear,清空,清空,,,,,,,
119,generate,Generate,生成,生成,,,,,,,
120,,optional,可选,可選,,,,,,,
121,,Please input your prompt,请输入您的提示词,請輸入您的提示詞,,,,,,,
122,home,Home,主页,主页,,,,,,,
123,delete,Delete,删除,刪除,,,,,,,
124,,Are you sure you want to delete this image?,您确定要删除该图片吗？,您確定要刪除該圖片嗎？,,,,,,,
125,,Operation successful,操作成功,操作成功,,,,,,,
126,date,Date,日期,日期,,,,,,,
127,apiVer,API Ver,API版本,API版本,,,,,,,
128,endpoint,endpoint,,,,,,,,,
129,,Please fill in required fields,请填写必填字段,請填寫必填字段,,,,,,,
130,,required,必填,必填,,,,,,,
131,imgInfo,Image info,图片信息,圖片訊息,,,,,,,
132,inputInfo,Generated info,生成信息,生成訊息,,,,,,,
133,outputInfo,Raw response,原始响应,原始回應,,,,,,,
134,imgInfo1,Image,图片,圖片,,,,,,,
135,inputInfo1,Gen,生成,生成,,,,,,,
136,outputInfo1,Raw,原始,原始,,,,,,,
137,model,model,模型,模型,,,,,,,
138,elapsed,Elapsed,耗时,耗時,,,,,,,
139,width,width,宽度,寬度,,,,,,,
140,height,height,高度,高度,,,,,,,
141,sampler,sampler,采样器,採樣器,,,,,,,
143,seed,seed,种子,種子,,,,,,,
144,steps,steps,步数,步數,,,,,,,
145,steps2,Number of diffusion steps to run,要运行的扩散步数,要運行的擴散步數,,,,,,,
146,negativePrompt,negative prompt,否定提示词,否定提示詞,,,,,,,
147,,(optional) negative prompt,(可选) 否定提示词,(可選) 否定提示詞,,,,,,,
148,,"Exceeded max number of tasks,
Please try again later.","超过最大任务数，
请稍后再试。","超過最大任務數，
請稍後再試。",,,,,,,
149,,Delete this task,删除此任务,刪除此任務,,,,,,,
150,,Refresh this task status,刷新此任务状态,重新整理此任務狀態,,,,,,,
151,,Are you sure you want to delete this task?,您确定要删除此任务吗？,您確定要刪除此任務嗎？,,,,,,,
152,,Refreshing..,刷新中..,刷新中..,,,,,,,
153,,This content violates the usage policy,该内容违反了使用政策,該內容違反了使用政策,,,,,,,
154,,The current version does not support this generated information,当前版本不支持该生成信息,目前版本不支援該生成訊息,,,,,,,
155,,Unable to generate content,无法生成内容,無法生成內容,,,,,,,
156,job,Task,任务,任務,,,,,,,
157,,"Your request has been added to the task,
Please wait for the painting to be completed.",您的请求已添加到任务中，请等待绘画完成。,您的請求已添加到任務中，請等待繪畫完成。,,,,,,,
158,,"Free painting tasks are full, please try again later.",免费绘画任务已满，请稍后再试。,免費繪畫任務已滿，請稍後再試。,,,,,,,
159,,"When it's empty, it's a free painting task",当它为空时，则是免费的绘画任务,當它為空時，则是免費的繪畫任務,,,,,,,
160,,Cancel,取消,取消,,,,,,,
161,,Search It,搜索它,搜索它,,,,,,,
